Name,Age,Nationality,Overall,Potential,Club
M. Agesen,34,Denmark,68,68,Randers FC
C. Rivieyran,26,France,68,69,Chamois Niortais FC
A. Martinelli,24,Switzerland,68,72,Brescia
P. Polomat,23,France,68,72,AJ Auxerre
Y. Ono,24,Japan,68,70,Sagan Tosu
D. Formella,21,Poland,68,75,Pogoń Szczecin
Hwang Hyun Soo,21,Korea Republic,68,77,FC Seoul
A. Levipan,25,Chile,68,68,Unión Española
R. Rogers,30,United States,68,68,LA Galaxy
M. Bašić,29,Croatia,68,68,Grasshopper Club Zürich
Jon Erice,30,Spain,68,68,Albacete Balompié
J. Vigón,25,Mexico,68,70,Club Atlas
W. Arboleda,27,Colombia,68,69,CD America de Cali
T. Wellenreuther,21,Germany,68,75,Willem II
K. Hafez,21,Egypt,68,76,RC Lens
J. Venlero,33,Chile,68,68,Curicó Unido
Luis Henrique,19,Brazil,68,78,CD Feirense
J. Leguizamón,25,Paraguay,68,72,Rosario Central
B. Grougi,33,France,68,68,Stade Brestois 29
G. Cellerino,31,Argentina,68,68,Deportivo Pasto
C. Harriott,23,England,68,75,Reading
J. Ruiz,23,Costa Rica,68,74,Al Fayha
R. Fennell,28,United States,68,68,Hallescher FC
H. Wahl,23,Germany,68,74,FC Ingolstadt 04
Bruno Teles,31,Brazil,68,68,Rio Ave FC
D. Burbano,29,Colombia,68,68,Club León
M. Fissore,26,Argentina,68,71,San Martín de San Juan
Wallyson Mallmann,23,Brazil,68,75,Sporting CP
I. Tarasovs,28,Latvia,68,69,Śląsk Wrocław
J. Michel,25,France,68,71,Sporting Lokeren
Jesús Fernández,29,Spain,68,69,C.D. Leonesa S.A.D.
S. Andersson,25,Sweden,68,71,1. FC Kaiserslautern
D. Barbona,22,Argentina,68,76,Atlético Tucumán
Rúben Dias,20,Portugal,68,78,SL Benfica
F. Černych,26,Lithuania,68,68,Jagiellonia Białystok
A. Rossi,21,Argentina,68,80,Boca Juniors
S. Benrahma,21,Algeria,68,76,La Berrichonne de Châteauroux
K. Ota,29,Japan,68,68,F.C. Tokyo
J. Valencia,31,Colombia,68,68,Independiente Santa Fe
A. Mbengue,23,Senegal,68,76,SM Caen
A. Green,18,England,68,84,Aston Villa
Leonardo,29,Brazil,68,68,Houston Dynamo
B. O'Neill,23,Australia,68,73,Sydney FC
Everaldo,25,Brazil,68,69,Querétaro
Hélder Tavares,27,Portugal,68,69,Tondela
D. Šovšić,27,Croatia,68,68,Suwon Samsung Bluewings
L. Acosta,22,Argentina,68,77,Belgrano de Córdoba
I. Tellero,29,Chile,68,68,CD Antofagasta
D. Kikuchi,26,Japan,68,68,Urawa Red Diamonds
J. Zimmermann,32,Germany,68,68,Eintracht Frankfurt
F. Öztürk,30,Turkey,68,68,Akhisar Belediyespor
Pablo Iñiguez,23,Spain,68,74,CF Reus Deportiu
J. Blanco,30,Argentina,68,68,Bahía Blanca
T. Serbest,23,Austria,68,74,FK Austria Wien
C. Basham,28,England,68,68,Sheffield United
Gonçalo Silva,26,Portugal,68,70,CF Os Belenenses
Z. MacMath,25,United States,68,73,Colorado Rapids
D. Gerken,32,England,68,68,Ipswich Town
L. Gil,26,Argentina,68,71,Rosario Central
K. Matmour,32,Algeria,68,68,Adelaide United
Xiao Zhi,32,China PR,68,68,
E. Suagher,24,Italy,68,71,Avellino
C. Morales,37,Mexico,68,68,Lobos de la BUAP
L. Pirard,22,Belgium,68,74,Sint-Truidense VV
E. Lorcado,33,Chile,68,68,Deportes Iquique
M. Bettinelli,25,England,68,74,Fulham
K. Bayramyan,25,Russia,68,72,FC Rostov
A. Ibsen Rømer,23,Denmark,68,72,FC Midtjylland
M. Bogado,32,Argentina,68,68,Club Atlético Huracán
R. Rodriguez,26,Switzerland,68,68,FC Zürich
J. Leist,29,Germany,68,68,SG Sonnenhof Großaspach
D. Rakels,24,Latvia,68,71,Lech Poznań
L. Abdi,28,Somalia,68,68,FK Haugesund
C. Remmer,24,Denmark,68,74,Molde FK
L. Slagveer,23,Netherlands,68,73,FC Twente
S. Bahoken,25,France,68,73,RC Strasbourg
J. Vásquez,29,Colombia,68,68,CD America de Cali
A. Grgić,20,Switzerland,68,79,VfB Stuttgart
F. Mattia,29,Argentina,68,69,San Martín de San Juan
L. Novak,28,England,68,68,Scunthorpe United
M. Pigliacelli,24,Italy,68,76,Pescara
Jesús Valentín,25,Spain,68,74,Real Zaragoza
G. Hormaza,33,Chile,68,68,Club de Deportes Temuco
Ângelo Neto,25,Brazil,68,71,Moreirense FC
M. Reineraso,33,Chile,68,68,San Luis de Quillota
D. Saint-Louis,22,France,68,74,Paris FC
J. Fuchs,19,France,68,79,FC Sochaux-Montbéliard
F. Rodríguez,27,Uruguay,68,69,Godoy Cruz
J. Savarino,20,Venezuela,68,76,Real Salt Lake
B. Amos,27,England,68,70,Charlton Athletic
R. Rabia,24,Egypt,68,74,
J. Gastien,29,France,68,68,Stade Brestois 29
G. Vadalá,20,Argentina,68,78,Boca Juniors
D. Button,28,England,68,69,Fulham
Edu Ramos,25,Spain,68,72,Córdoba CF
F. Márquez,29,Argentina,68,68,Defensa y Justicia
M. Diagne,23,Senegal,68,75,AS Nancy Lorraine
F. Viáfara,25,Colombia,68,72,Águilas Doradas
V. Muriqi,23,Kosovo,68,76,Gençlerbirliği SK
K. Balanta,20,Colombia,68,80,Asociacion Deportivo Cali
M. Antonsson,36,Sweden,68,68,FC København
S. Ortega,24,Germany,68,73,DSC Arminia Bielefeld
V. Ulloa,25,Mexico,68,70,FC Dallas
E. Mosquera,26,Colombia,68,71,Envigado FC
J. Medranda,23,Colombia,68,74,Sporting Kansas City
P. Dixon,30,Scotland,68,68,Grimsby Town
J. Roye,28,France,68,68,Chamois Niortais FC
S. Rossbach,21,Norway,68,81,Odds BK
E. Palomino,31,Colombia,68,68,Atlético Huila
Sergi Palencia,21,Spain,68,82,FC Barcelona B
V. Lampropoulos,27,Greece,68,68,AEK Athens
L. Tremolada,25,Italy,68,73,Ternana
J. Toral,22,Spain,68,75,Hull City
A. Bono,23,United States,68,75,Toronto FC
G. Giakoumakis,22,Greece,68,74,AEK Athens
J. Collins,26,Republic of Ireland,68,70,Luton Town
Fran Cruz,26,Spain,68,72,Lorca Deportiva CF
C. Schösswendter,28,Austria,68,68,1. FC Union Berlin
S. Doukara,25,Senegal,68,71,Osmanlıspor
Etxeberría,22,Spain,68,75,CD Numancia
I. Doğan,26,Turkey,68,68,Kardemir Karabükspor
Helito Caldeira,33,Brazil,68,68,Coritiba Foot Ball Club
G. Torres,19,Costa Rica,68,74,Club América
D. Bingham,27,United States,68,71,San Jose Earthquakes
N. Valentini,28,Argentina,68,69,Real Oviedo
A. Fulgini,20,France,68,77,Angers SCO
E. Ebanks-Landell,24,England,68,74,Milton Keynes Dons
T. Siebatcheu,21,France,68,76,Stade de Reims
Adriá Carmona,25,Spain,68,71,CD Lugo
M. Parkhurst,33,United States,68,68,Atlanta United FC
B. Nastić,22,Serbia,68,73,KRC Genk
Óscar,19,Spain,68,81,Real Madrid CF
J. Gonzalez,22,United States,68,78,FC Dallas
K. Karami,27,Netherlands,68,68,Excelsior
L. Mühl,20,Germany,68,81,1. FC Nürnberg
J. Parr,28,Norway,68,68,Strømsgodset IF
M. Polster,24,United States,68,72,Chicago Fire Soccer Club
K. Schindler,23,Ghana,68,73,Holstein Kiel
J. Isijara,27,Mexico,68,68,Necaxa
M. Kolke,26,Germany,68,72,SV Wehen Wiesbaden
Y. Tejeda,25,Costa Rica,68,70,FC Lausanne-Sports
L. Haraslín,21,Slovakia,68,77,Lechia Gdańsk
R. Weil,29,Germany,68,68,1. FC Magdeburg
A. Zapata,32,Colombia,68,68,CD America de Cali
Angeliño,20,Spain,68,78,NAC Breda
Paulo Ricardo,22,Brazil,68,74,FC Sion
A. Androutsos,20,Greece,68,80,Olympiakos CFP
F. Dick,32,Germany,68,68,DSC Arminia Bielefeld
S. Lainer,24,Austria,68,73,FC Red Bull Salzburg
F. Morais,31,Portugal,68,68,Bolton Wanderers
J. Emmanuel-Thomas,26,England,68,69,Queens Park Rangers
O. Buff,24,Switzerland,68,73,Real Zaragoza
B. Reid,24,England,68,74,Bristol City
Edú,35,Brazil,68,68,Jeonbuk Hyundai Motors
M. Paulissen,24,Netherlands,68,72,Roda JC Kerkrade
R. Henry,19,England,68,84,Brentford
M. Martínez,24,Argentina,68,74,Rosario Central
Miguel Díaz,23,Spain,68,75,CA Osasuna
Zhao Xuri,31,China PR,68,68,
Carlos Caballero,32,Spain,68,68,Córdoba CF
Tiago Caeiro,33,Portugal,68,68,CF Os Belenenses
Miramón,28,Spain,68,68,CF Reus Deportiu
A. Murgia,20,Italy,68,80,Lazio
Nagore,36,Spain,68,68,SD Huesca
D. Lekić,32,Serbia,68,68,CF Reus Deportiu
Luis Felipe,26,Brazil,68,70,Vitória Setúbal
L. Galeano,25,Argentina,68,73,Godoy Cruz
D. Kownacki,20,Poland,68,81,Sampdoria
N. Hagglund,24,United States,68,73,Toronto FC
M. Aleksandrov,28,Bulgaria,68,68,Arsenal Tula
P. Farkas,24,Austria,68,72,FC Red Bull Salzburg
J. Cools,26,Belgium,68,70,Waasland-Beveren
R. Grant,26,Australia,68,70,Sydney FC
D. Böde,30,Hungary,68,68,
R. Ruíz,31,Mexico,68,68,Tiburones Rojos de Veracruz
M. Saeid,26,Sweden,68,69,Colorado Rapids
H. Marín,24,Mexico,68,72,Guadalajara
D. Cataño,25,Colombia,68,73,Independiente Medellín
M. Titsch-Rivero,27,Germany,68,69,1. FC Heidenheim
S. Maier,23,Germany,68,73,Hannover 96
G. Arokoyo,24,Nigeria,68,75,Portland Timbers
M. Figueroa,34,Honduras,68,68,FC Dallas
B. Meccariello,26,Italy,68,70,Brescia
M. Čovilo,31,Serbia,68,68,Cracovia
C. Lobella,25,Chile,68,68,CD Universidad de Concepción
E. Hovland,28,Norway,68,68,Sogndal
S. Terekhov,27,Russia,68,69,Dinamo Moscow
G. Machín,34,Argentina,68,68,Argentinos Juniors
M. Müller,23,Germany,68,76,1. FC Kaiserslautern
K. Vollmann,23,Germany,68,73,SV Sandhausen
E. Molina,30,Argentina,68,68,Atlético Tucumán
K. Przybyłko,24,Poland,68,73,1. FC Kaiserslautern
M. Williams,26,Trinidad & Tobago,68,69,Colorado Rapids
R. Rotman,28,Slovenia,68,69,Göztepe
A. Traoré,27,Senegal,68,68,Nottingham Forest
M. Lekven,29,Norway,68,68,Vålerenga Fotball
L. Gassama,27,Senegal,68,69,Alanyaspor
D. Bisoli,23,Italy,68,73,Brescia
J. Une Larsson,23,Sweden,68,77,Djurgårdens IF
A. Miljković,27,Serbia,68,69,Amkar Perm
O. Govea,21,Mexico,68,76,Royal Excel Mouscron
P. Parzyszek,23,Poland,68,74,PEC Zwolle
M. Fornasier,23,Italy,68,76,Pescara
E. Acolatse,21,Netherlands,68,75,Sint-Truidense VV
S. Martinsson Ngouali,25,Gabon,68,73,Hammarby IF
D. Roßbach,24,Germany,68,72,SV Sandhausen
Diego Medeiros,24,Brazil,68,72,FC Paços de Ferreira
Y. Court,27,France,68,68,GFC Ajaccio
D. Callà,32,Switzerland,68,68,FC Basel
F. Malbašić,24,Serbia,68,74,CD Tenerife
O. Hadžikić,21,Austria,68,78,FK Austria Wien
W. Santerilone,25,Chile,68,68,CD Huachipato
Bruno Perone,29,Brazil,68,68,Gimnàstic de Tarragona
A. Merkel,25,Kazakhstan,68,72,VfL Bochum
Pedro Queirós,32,Portugal,68,68,Grupo Desportivo de Chaves
P. Klingmann,29,Germany,68,68,SV Sandhausen
U. Rivas,21,Mexico,68,77,Santos Laguna
C. Bedia,21,Ivory Coast,68,76,Sporting Charleroi
M. Thuram,19,France,68,79,En Avant de Guingamp
D. Bodul,28,Croatia,68,68,Amkar Perm
J. Siebenhandl,27,Austria,68,70,SK Sturm Graz
N. Klotz,30,Germany,68,68,MSV Duisburg
I. Bezdenezhnykh,20,Russia,68,82,FC Ufa
A. Vuletich,25,Argentina,68,71,Águilas Doradas
Eloi Amagat,32,Spain,68,68,Girona CF
S. Wootton,25,England,67,71,Milton Keynes Dons
J. Pereyra Díaz,26,Argentina,67,67,Club León
M. Holgate,20,England,67,82,Everton
B. Bajić,37,Bosnia Herzegovina,67,67,MSV Duisburg
D. Werker,23,Netherlands,67,72,Roda JC Kerkrade
W. Twala,27,South Africa,67,67,Kaizer Chiefs
S. Poulsen,32,Denmark,67,67,SønderjyskE
O. Watkins,21,England,67,80,Brentford
J. Holland,28,Australia,67,67,LASK Linz
G. van Velzen,23,Netherlands,67,73,Roda JC Kerkrade
K. Ajer,19,Norway,67,78,Celtic
C. Teuchert,20,Germany,67,81,1. FC Nürnberg
A. Taylor,31,England,67,67,Blackpool
J. Murphy,22,England,67,79,Norwich City
M. Elarra,29,Chile,67,67,Audax Italiano
A. Bischoff,30,Portugal,67,67,Hansa Rostock
S. Beavon,33,England,67,67,Coventry City
D. Bakker,22,Netherlands,67,72,ADO Den Haag
E. Zejnullahu,22,Kosovo,67,76,SV Sandhausen
P. Clement,21,Netherlands,67,75,Reading
M. Marković,27,Serbia,67,67,FC SKA-Energiya Khabarovsk
K. Freiberger,28,Germany,67,67,Sportfreunde Lotte
C. Rivas,23,Colombia,67,76,Orlando City Soccer Club
H. Çinemre,23,Turkey,67,74,Göztepe
J. Mason,26,Republic of Ireland,67,68,Burton Albion
M. James,23,Canada,67,72,
R. Kiernan,26,Republic of Ireland,67,69,Southend United
F. Ogier,28,France,67,68,FC Sochaux-Montbéliard
N. Hammann,29,Germany,67,67,1. FC Magdeburg
K. Wæhler,41,Norway,67,67,Sogndal
M. Pérez Acuña,23,Argentina,67,74,Vélez Sarsfield
M. Bagayoko,27,Ivory Coast,67,68,
Aitor,21,Spain,67,79,Sevilla Atlético
S. Taniguchi,25,Japan,67,71,Kawasaki Frontale
Wilson Manafá,22,Portugal,67,76,Portimonense SC
Julián Cuesta,26,Spain,67,70,Wisła Kraków
P. Ngawa,25,Belgium,67,70,Avellino
E. Hyndman,21,United States,67,80,Bournemouth
José Suarez,21,Spain,67,78,Girona CF
Y. Toyoda,32,Japan,67,67,Sagan Tosu
T. Nara,23,Japan,67,75,Kawasaki Frontale
T. Martínez,22,Argentina,67,77,Houston Dynamo
R. Áldarez,25,Chile,67,67,CD Antofagasta
A. Zrelak,23,Slovakia,67,76,1. FC Nürnberg
M. Albertazzi,26,Italy,67,67,Hellas Verona
M. Chrapek,25,Poland,67,71,Śląsk Wrocław
E. Burgos,25,Argentina,67,71,AD Alcorcón
O. Rojas,35,Mexico,67,67,Puebla
F. Nordkvelle,31,Norway,67,67,Odds BK
M. Hongla,19,Cameroon,67,74,Granada CF
K. Biliński,29,Poland,67,67,Wisła Płock
J. Villarreal,23,United States,67,73,LA Galaxy
H. Diallo,22,Senegal,67,75,Stade Brestois 29
Mauriçio Clerez,25,Brazil,67,67,Associação Chapecoense de Futebol
T. Elrich,30,Australia,67,67,Adelaide United
M. Vermijl,25,Belgium,67,70,Preston North End
S. Romero,27,Uruguay,67,67,Rosario Central
S. Cox,30,Republic of Ireland,67,67,Southend United
M. Connolly,29,England,67,67,Cardiff City
A. Mannus,35,Northern Ireland,67,67,St. Johnstone FC
L. Đorđević,22,Montenegro,67,73,Arsenal Tula
V. Yurchenko,23,Ukraine,67,73,Bayer 04 Leverkusen
Choi Hyo Jin,33,Korea Republic,67,67,Jeonnam Dragons
R. Maeda,35,Japan,67,67,F.C. Tokyo
F. Hartherz,24,Germany,67,71,DSC Arminia Bielefeld
A. Bellinghausen,34,Germany,67,67,Fortuna Düsseldorf
A. Frara,34,Italy,67,67,Frosinone
Heliardo,25,Brazil,67,70,Tondela
S. Díaz,19,Paraguay,67,81,CD Lugo
B. McKay,28,Northern Ireland,67,67,Ross County FC
N. Larsen,26,Denmark,67,70,FC Nordsjælland
F. Kiss,26,Slovakia,67,69,Ettifaq FC
A. Al Ghamdi,22,Saudi Arabia,67,73,Al Ittihad
H. Maïga,21,Ivory Coast,67,79,AS Saint-Étienne
V. Eicher,26,Germany,67,70,1. FC Heidenheim
J. Lozano,32,Colombia,67,67,Atlético Huila
F. Antunes,25,France,67,70,Sint-Truidense VV
D. Cox,29,England,67,67,Crawley Town
S. Heidinger,31,Germany,67,67,Holstein Kiel
D. Lafferty,28,Northern Ireland,67,67,Sheffield United
Pedro Chirivella,20,Spain,67,76,Willem II
Lee Keun Ho,32,Korea Republic,67,67,Gangwon FC
J. Gyau,24,United States,67,70,SG Sonnenhof Großaspach
A. Seck,25,Senegal,67,71,Sandefjord Fotball
D. Mesenhöler,21,Germany,67,77,1. FC Union Berlin
Oh Beom Seok,32,Korea Republic,67,67,Gangwon FC
A. Guliev,21,Russia,67,78,FC Anzhi Makhachkala
S. Grippo,28,Switzerland,67,69,Real Zaragoza
K. Al Ghamdi,29,Saudi Arabia,67,67,Al Nassr
S. Ojo,20,England,67,83,Fulham
Ramon Lopes,27,Brazil,67,67,Kashiwa Reysol
Paulo Lopes,39,Portugal,67,67,SL Benfica
S. Franklin,32,United States,67,67,D.C. United
D. Moxey,31,England,67,67,Exeter City
H. Olvera,27,Mexico,67,68,Lobos de la BUAP
Wander,30,Brazil,67,67,Al Raed
Fepe Avedo,29,Brazil,67,67,Clube Atlético Paranaense
Lee Sang Ho,30,Korea Republic,67,67,FC Seoul
Carlos Delgado,27,Spain,67,69,Albacete Balompié
J. Jørgensen,28,Norway,67,68,Sarpsborg 08 FF
Mailson,26,Brazil,67,69,Jeju United FC
L. Varney,34,England,67,67,Burton Albion
M. Kenlock,20,England,67,78,Ipswich Town
Mateus Tangil,29,Brazil,67,67,Sport Club do Recife
Hwang Jin Sung,33,Korea Republic,67,67,Gangwon FC
H. Taniguchi,32,Japan,67,67,Sagan Tosu
C. Evans,26,Northern Ireland,67,68,Blackburn Rovers
K. Paal,20,Netherlands,67,76,PSV
Y. Yoshida,27,Japan,67,67,Sagan Tosu
M. Torrén,28,Argentina,67,68,Argentinos Juniors
K. Madu,21,Nigeria,67,75,SV Zulte-Waregem
Y. Konno,34,Japan,67,67,Gamba Osaka
L. Trotter,28,England,67,67,AFC Wimbledon
S. Brandy,32,Germany,67,67,DSC Arminia Bielefeld
E. Soriano,28,Germany,67,67,Korona Kielce
M. Smedberg-Dalence,33,Bolivia,67,67,IFK Göteborg
P. Kirkevold,26,Norway,67,70,Hobro IK
M. Baudry,29,France,67,67,Doncaster Rovers
M. Sivakow,29,Belarus,67,68,Amkar Perm
O. Occéan,35,Canada,67,67,Odds BK
J. Nikolaou,23,Germany,67,72,Würzburger FV
C. Tasoulis,26,Greece,67,68,RC Lens
F. González,30,Argentina,67,67,Puebla
M. Falzerano,26,Italy,67,68,F.B.C. Unione Venezia
W. Kamavuaka,27,DR Congo,67,69,SV Darmstadt 98
M. Rosales,25,Argentina,67,70,Bahía Blanca
A. Gabr,30,Egypt,67,67,
M. Guanini,21,Argentina,67,75,Gimnasia y Esgrima La Plata
J. Brix-Damborg,31,Denmark,67,67,Hobro IK
Martínez,24,Spain,67,73,FC Barcelona B
M. de los Santos,24,Uruguay,67,73,CD Los Millionarios Bogota
F. Farnolle,32,Benin,67,67,Evkur Yeni Malatyaspor
M. Lorenz,28,Germany,67,67,Karlsruher SC
M. Polaček,27,Slovakia,67,68,Zagłębie Lubin
Oswaldinato,33,Brazil,67,67,Avaí Futebol Clube
H. Kanazono,28,Japan,67,67,Hokkaido Consadole Sapporo
R. Azeez,24,Nigeria,67,73,CD Lugo
Marcelo Djaló,23,Spain,67,73,Fulham
Eneko Capilla,22,Spain,67,74,Real Sociedad
J. North,35,Australia,67,67,Brisbane Roar
F. Kadir,33,Algeria,67,67,AD Alcorcón
J. Wójcicki,28,Poland,67,67,Cracovia
F. Cañaveral,28,Colombia,67,67,CD Once Caldas Manizales
Manel,25,Spain,67,72,Lorca Deportiva CF
J. Arvidsson,32,Sweden,67,67,IK Sirius
M. Mak,25,Poland,67,69,Piast Gliwice
K. Salazar,21,Colombia,67,81,Independiente Santa Fe
G. Faivre,30,Switzerland,67,67,FC Thun
D. Hoesen,26,Netherlands,67,69,San Jose Earthquakes
A. Calisir,27,Sweden,67,69,Jönköpings Södra IF
B. Jopek,23,Germany,67,72,Würzburger FV
J. Hardeveld,22,Netherlands,67,73,Heracles Almelo
J. Kliment,23,Czech Republic,67,74,Brøndby IF
Y. Suzuki,21,Japan,67,78,Kashima Antlers
E. Stevens,26,Republic of Ireland,67,68,Sheffield United
K. Ellis,26,United States,67,69,Sporting Kansas City
T. Ouwejan,21,Netherlands,67,74,AZ Alkmaar
Z. El Azzouzi,21,Morocco,67,74,Excelsior
M. Hvilsom,24,Denmark,67,72,SønderjyskE
M. Szczepaniak,26,Poland,67,69,Cracovia
J. Sims,20,England,67,81,Southampton
M. Kudo,27,Japan,67,68,Sanfrecce Hiroshima
N. Busch Thor,31,Sweden,67,67,IK Sirius
M. Fathi,23,Egypt,67,77,Al Taawoun
T. Browning,23,England,67,75,Sunderland
J. Möckel,29,Germany,67,67,Rot-Weiß Erfurt
B. Djimsiti,24,Albania,67,74,Benevento Calcio
J. Bijlow,19,Netherlands,67,80,Feyenoord
L. Kassi,22,Ivory Coast,67,71,Stabæk Fotball
H. Rivera,24,Colombia,67,72,Águilas Doradas
Asdrúbal,26,Spain,67,70,Central Coast Mariners
J. Hernández,24,Venezuela,67,72,CF Os Belenenses
T. Röcher,26,Austria,67,67,SK Sturm Graz
Gerson,20,Brazil,67,80,Roma
J. Brayford,29,England,67,67,Burton Albion
J. Archer,24,Scotland,67,73,Millwall
K. Andersen,31,Belgium,67,67,SC Fortuna Köln
Lee Yun Pyo,32,Korea Republic,67,67,Incheon United FC
F. Casarini,27,Italy,67,67,Novara
A. Messaoud,26,Morocco,67,70,Excelsior
L. Gülen,23,Switzerland,67,72,Kayserispor
J. Croux,23,Belgium,67,71,Willem II
G. Wegkamp,24,Germany,67,72,VfR Aalen
J. Delgado,24,Chile,67,73,Gimnàstic de Tarragona
J. Grant,22,England,67,78,Notts County
A. Otero,33,Colombia,67,67,Atlético Bucaramanga
P. Billing,21,Denmark,67,81,Huddersfield Town
M. Zetterer,21,Germany,67,77,SV Werder Bremen
H. Halldórsson,33,Iceland,67,67,Randers FC
E. Herrera,30,Argentina,67,67,Lobos de la BUAP
Jonatas Belusso,28,Brazil,67,67,Al Shabab
J. Jackson,34,England,67,67,Charlton Athletic
Fidelis,28,Brazil,67,67,Portimonense SC
D. Wydra,23,Austria,67,72,FC Erzgebirge Aue
M. Kuster,23,Austria,67,72,SV Mattersburg
J. Cummings,21,Scotland,67,75,Nottingham Forest
C. Soukou,24,Germany,67,73,FC Erzgebirge Aue
M. Nizam,26,Turkey,67,68,Antalyaspor
S. Pettinari,25,Italy,67,70,Pescara
R. Mandanda,24,DR Congo,67,75,AC Ajaccio
J. Blackman,23,England,67,76,Sheffield United
Ricardo Nunes,31,South Africa,67,67,Pogoń Szczecin
S. Becker,22,Netherlands,67,74,ADO Den Haag
A. Ivan,20,Romania,67,79,FC Krasnodar
Fabio,28,Brazil,67,67,Gamba Osaka
T. Høiland,28,Norway,67,67,Viking FK
W. Domoraud,28,France,67,67,Hobro IK
W. Thomas,30,England,67,67,Oxford United
J. Graham,22,England,67,76,Fulham
L. Payares,27,Colombia,67,69,Deportivo Pasto
Nazario Serpe,25,Brazil,67,67,Associação Atlética Ponte Preta
A. Paolucci,30,Italy,67,67,Ternana
T. Bishop,20,England,67,77,Ipswich Town
Jorge Pombo,23,Spain,67,76,Real Zaragoza
L. Goujon,21,France,67,76,AJ Auxerre
C. Baird,35,Northern Ireland,67,67,Derby County
K. Nakamachi,31,Japan,67,67,Yokohama F. Marinos
F. Kaplan,28,Turkey,67,68,Antalyaspor
D. Fry,19,England,67,82,Middlesbrough
Breno Laranjeiro,29,Brazil,67,67,Sport Club do Recife
V. Andriuškevičius,26,Lithuania,67,70,Portland Timbers
M. Angha,23,Switzerland,67,75,FC Sion
I. Shevchenko,32,Russia,67,67,Arsenal Tula
J. Wicks,33,United States,67,67,IK Sirius
G. Gudiño,25,Argentina,67,70,San Lorenzo de Almagro
J. Leutwiler,28,Canada,67,67,Blackburn Rovers
P. Martinez,28,France,67,67,RC Strasbourg
Marcos Valente,23,Portugal,67,73,Vitória Guimarães
D. Amoo,26,England,67,68,Cambridge United
A. Tanaka,29,Japan,67,67,HJK Helsinki
A. Linde,23,Sweden,67,74,Molde FK
M. Hallberg,21,Sweden,67,74,Kalmar FF
Carlos Blanco,21,Spain,67,77,Gimnàstic de Tarragona
Santamaría,32,Spain,67,67,CF Reus Deportiu
Jefferson Santos,24,Brazil,67,68,Grupo Desportivo de Chaves
S. Scannell,26,Republic of Ireland,67,67,Burton Albion
G. Rizzo,26,Italy,67,69,Salernitana
B. Perea,24,Colombia,67,74,Lazio
L. Broź,31,Poland,67,67,Legia Warszawa
V. Rykov,29,Russia,67,67,Dinamo Moscow
O. Zelenika,24,Croatia,67,71,Lechia Gdańsk
D. Diaw,22,Senegal,67,77,Korona Kielce
F. Gaibor,25,Ecuador,67,72,
B. Fernandez,32,Germany,67,67,Sportfreunde Lotte
J. Navrátil,25,Czech Republic,67,70,Heracles Almelo
M. Balanta,27,Colombia,67,67,Corporación Club Deportivo Tuluá
M. Musalov,23,Russia,67,75,FC Anzhi Makhachkala
M. Gori,24,Italy,67,70,Frosinone
A. Jackson-Hamel,23,Canada,67,74,Montreal Impact
J. Lozano,26,Colombia,67,69,Tigres FC
H. Forrester,26,England,67,68,AFC Wimbledon
D. Orlishausen,34,Germany,67,67,Karlsruher SC
L. Paganini,24,Italy,67,71,Frosinone
K. Hemmings,25,England,67,72,Mansfield Town
Iñaki Sáenz,29,Spain,67,67,CD Tenerife
R. Crivello,25,Italy,67,69,Frosinone
R. Niemeijer,22,Netherlands,67,74,Heracles Almelo
I. Sackey,23,Ghana,67,74,Alanyaspor
J. Cabrera,25,Uruguay,67,69,Argentinos Juniors
E. Audero,20,Italy,67,77,F.B.C. Unione Venezia
L. Załuska,35,Poland,67,67,Pogoń Szczecin
N. Byrne,25,England,67,71,Wigan Athletic
Moon Seon Min,25,Korea Republic,67,70,Incheon United FC
P. Malong,21,Cameroon,67,77,Granada CF
Kim Tae Hwan,27,Korea Republic,67,67,Sangju Sangmu FC
R. Philp,28,Romania,67,67,1. FC Heidenheim
J. Domínguez,30,Colombia,67,67,CD Los Millionarios Bogota
M. Mittelstädt,20,Germany,67,79,Hertha BSC Berlin
D. Vergara,20,Colombia,67,78,Envigado FC
T. Leugers,26,Germany,67,69,SV Meppen
Y. Nakazawa,39,Japan,67,67,Yokohama F. Marinos
G. Munari,34,Italy,67,67,Parma
S. Canildo,29,Chile,67,67,Santiago Wanderers
M. Inoha,31,Japan,67,67,Vissel Kobe
Lee Seung Gi,29,Korea Republic,67,67,Jeonbuk Hyundai Motors
B. Uphoff,23,Germany,67,72,Karlsruher SC
Wu Xi,28,China PR,67,67,
G. Åsen,26,Norway,67,70,Tromsø IL
B. Evans,32,United States,67,67,Seattle Sounders FC
L. Isgrove,24,Wales,67,73,Barnsley
M. Lampson,27,United States,67,68,Chicago Fire Soccer Club
S. Dioudis,24,Greece,67,73,Panathinaikos FC
M. Schuhen,24,Germany,67,73,SV Sandhausen
Melvin Regalito,25,Brazil,67,67,Fluminense Football Club
L. Akins,28,England,67,67,Burton Albion
M. Taylor,35,England,67,67,Swindon Town
S. Brandstetter,27,Germany,67,68,MSV Duisburg
G. Claes,23,Belgium,67,72,KV Mechelen
J. Valencia,25,Colombia,67,72,CD Feirense
R. Seuntjens,28,Netherlands,67,67,VVV-Venlo
R. Miyaichi,24,Japan,67,71,FC St. Pauli
C. Bickel,26,Germany,67,68,VfL Osnabrück
